n,ordem,familia,genero,especie,categoria
706,Primates,Callitrichidae,Leontopithecus,rosalia,EN
707,Primates,Callitrichidae,Mico,rondoni,VU
708,Primates,Callitrichidae,Saguinus,bicolor,CR
709,Primates,Callitrichidae,Saguinus,niger,VU
710,Primates,Cebidae,Cebus,kaapori,CR
711,Primates,Cebidae,Saimiri,vanzolinii,VU
712,Primates,Cebidae,Sapajus,cay,VU
713,Primates,Cebidae,Sapajus,flavius,EN
714,Primates,Cebidae,Sapajus,robustus,EN
715,Primates,Cebidae,Sapajus,xanthosternos,EN
716,Primates,Pitheciidae,Cacajao,hosomi,EN
717,Primates,Pitheciidae,Callicebus,barbarabrownae,CR
718,Primates,Pitheciidae,Callicebus,coimbrai,EN
719,Primates,Pitheciidae,Callicebus,melanochir,VU
720,Primates,Pitheciidae,Callicebus,personatus,VU
721,Primates,Pitheciidae,Chiropotes,satanas,CR
722,Primates,Pitheciidae,Chiropotes,utahickae,VU
723,Rodentia,Caviidae,Cavia,intermedia,CR
724,Rodentia,Caviidae,Kerodon,acrobata,VU
725,Rodentia,Caviidae,Kerodon,rupestris,VU
726,Rodentia,Cricetidae,Akodon,mystax,VU
727,Rodentia,Cricetidae,Cerradomys,goytaca,EN
728,Rodentia,Cricetidae,Euryoryzomys,lamia,EN
729,Rodentia,Cricetidae,Gyldenstolpia,planaltensis,EN
730,Rodentia,Cricetidae,Juscelinomys,candango,CR
731,Rodentia,Cricetidae,Microakodontomys,transitorius,EN
732,Rodentia,Cricetidae,Oligoryzomys,rupestris,EN
733,Rodentia,Cricetidae,Rhipidomys,cariri,VU
734,Rodentia,Cricetidae,Rhipidomys,tribei,EN
735,Rodentia,Cricetidae,Thalpomys,cerradensis,VU
736,Rodentia,Cricetidae,Thalpomys,lasiotis,EN
737,Rodentia,Cricetidae,Wilfredomys,oenax,EN
738,Rodentia,Ctenomyidae,Ctenomys,bicolor,EN
739,Rodentia,Ctenomyidae,Ctenomys,flamarioni,EN
740,Rodentia,Ctenomyidae,Ctenomys,lami,EN
741,Rodentia,Ctenomyidae,Ctenomys,minutus,VU
742,Rodentia,Echimyidae,Callistomys,pictus,EN
743,Rodentia,Echimyidae,Phyllomys,brasiliensis,EN
744,Rodentia,Echimyidae,Phyllomys,lundi,EN
745,Rodentia,Echimyidae,Phyllomys,thomasi,EN
746,Rodentia,Echimyidae,Phyllomys,unicolor,CR
747,Rodentia,Echimyidae,Trinomys,eliasi,VU
748,Rodentia,Echimyidae,Trinomys,mirapitanga,EN
749,Rodentia,Echimyidae,Trinomys,moojeni,EN
750,Rodentia,Echimyidae,Trinomys,yonenagae,EN
751,Rodentia,Erethizontidae,Chaetomys,subspinosus,VU
752,Rodentia,Erethizontidae,Coendou,speratus,EN
753,Cetartiodactyla,Balaenidae,Eubalaena,australis,EN
754,Cetartiodactyla,Balaenopteridae,Balaenoptera,borealis,EN
755,Cetartiodactyla,Balaenopteridae,Balaenoptera,musculus,CR
756,Cetartiodactyla,Balaenopteridae,Balaenoptera,physalus,EN
757,Cetartiodactyla,Delphinidae,Sotalia,guianensis,VU
758,Cetartiodactyla,Delphinidae,Tursiops,gephyreus,EN
759,Cetartiodactyla,Iniidae,Inia,araguaiaensis,VU
760,Cetartiodactyla,Iniidae,Inia,geoffrensis,EN
761,Cetartiodactyla,Physeteridae,Physeter,macrocephalus,VU
762,Cetartiodactyla,Pontoporiidae,Pontoporia,blainvillei,CR
763,Sirenia,Trichechidae,Trichechus,inunguis,VU
764,Sirenia,Trichechidae,Trichechus,manatus,EN
765,Galliformes,Cracidae,Crax,globulosa,SIM
766,Galliformes,Cracidae,Penelope,superciliaris alagoensis,SIM
767,Gruiformes,Psophiidae,Psophia ,obscura,CR
768,Gruiformes,Psophiidae,Psophia ,interjecta,SIM
769,Gruiformes,Psophiidae,Psophia ,dextralis,SIM
